#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 30 00 50 229  8.1 10.1  2.21 11.43  6.78 999 1019.4  10.7  11.4 999.0 99.0 99.00
2011 05 30 01 50 223  8.9 10.6  2.28 12.12  6.81 999 1018.5  10.0  11.4 999.0 99.0 99.00
2011 05 30 02 50 212  8.9 10.4  2.22 10.81  6.43 999 1017.5  10.1  11.4 999.0 99.0 99.00
2011 05 30 03 50 209  8.7 10.6  2.04 11.43  5.95 999 1016.3  10.5  11.4 999.0 99.0 99.00
2011 05 30 04 50 287  9.2 11.5  2.05 11.43  6.17 999 1016.0  10.3  11.4 999.0 99.0 99.00
2011 05 30 05 50 294  9.1 10.9  1.94 11.43  5.90 999 1016.0  10.1  11.3 999.0 99.0 99.00
2011 05 30 06 50 295  8.9 10.6  2.12 11.43  5.77 999 1015.3  10.3  11.3 999.0 99.0 99.00
2011 05 30 07 50 284  8.7 11.3  2.31 10.81  6.11 999 1014.7  10.0  11.3 999.0 99.0 99.00
2011 05 30 08 50 285  8.7 11.1  2.12  6.67  5.86 999 1014.3   9.8  11.3 999.0 99.0 99.00
2011 05 30 09 50 283  7.9  9.6  2.14 10.81  5.88 999 1013.6   9.6  11.3 999.0 99.0 99.00
2011 05 30 10 50 282  9.7 11.5  2.27  6.67  5.78 999 1012.9   9.2  11.2 999.0 99.0 99.00
2011 05 30 11 50 278  9.9 13.3  2.13  7.69  5.79 999 1012.3   9.3  11.2 999.0 99.0 99.00
2011 05 30 12 50 292  8.3 10.3  2.30  7.14  5.71 999 1011.9   9.6  11.2 999.0 99.0 99.00
2011 05 30 13 50 279  8.2 10.2  2.26  7.14  5.70 999 1011.8   9.0  11.2 999.0 99.0 99.00
2011 05 30 14 50 283  7.7  9.2  2.15  7.14  5.78 999 1011.2   9.7  11.2 999.0 99.0 99.00
2011 05 30 15 50 282  8.0  9.7  2.04  7.14  5.67 999 1010.9   9.7  11.2 999.0 99.0 99.00
2011 05 30 16 50 269  6.1  7.7  2.34  7.69  6.07 999 1010.9   9.0  11.2 999.0 99.0 99.00
2011 05 30 17 50 277  9.0 10.7  2.28  7.69  5.90 999 1010.1   9.9  11.2 999.0 99.0 99.00
2011 05 30 18 50 278 10.3 13.3  2.35  7.69  6.06 999 1010.0   9.7  11.3 999.0 99.0 99.00
2011 05 30 19 50 282  8.0  9.9  2.43  7.69  6.01 999 1010.1   8.8  11.3 999.0 99.0 99.00
2011 05 30 20 50 285  7.2  9.2  2.47  8.33  6.50 999 1009.9   9.7  11.3 999.0 99.0 99.00
2011 05 30 21 50 290  5.0  6.3  2.64  8.33  6.70 999 1010.0   8.9  11.3 999.0 99.0 99.00
2011 05 30 22 50 280  6.1  7.5  2.79 10.00  7.14 999 1009.8   9.4  11.4 999.0 99.0 99.00
2011 05 30 23 50 302  6.7  8.1  2.85  9.09  7.24 999 1009.5   9.8  11.4 999.0 99.0 99.00
2011 05 31 00 50 292  5.4  7.5  3.47 10.00  8.24 999 1009.5   9.9  11.4 999.0 99.0 99.00
2011 05 31 01 50 294  5.0  6.5  3.31 14.81  8.22 999 1009.5   9.7  11.4 999.0 99.0 99.00
2011 05 31 02 50 298  5.8  7.6  3.77 11.43  8.87 999 1009.6  10.1  11.4 999.0 99.0 99.00
2011 05 31 03 50 317  4.5  6.3  3.60 13.79  8.75 999 1009.8   9.7  11.4 999.0 99.0 99.00
2011 05 31 04 50 313  4.2  6.1  3.99 13.79  9.40 999 1010.2   9.4  11.4 999.0 99.0 99.00
2011 05 31 05 50 327  4.2  5.6  4.05 12.90  9.48 999 1010.7   9.5  11.3 999.0 99.0 99.00
2011 05 31 06 50 357  4.8  6.3  3.54 12.90  9.13 999 1010.8   9.9  11.3 999.0 99.0 99.00
2011 05 31 07 50   4  4.8  5.9  3.25 11.43  8.94 999 1011.0  10.0  11.3 999.0 99.0 99.00
2011 05 31 08 50  11  2.9  4.3  3.22 12.12  8.90 999 1011.2   9.7  11.3 999.0 99.0 99.00
2011 05 31 09 50 354  4.3  5.7  2.90 12.12  8.52 999 1011.2   9.9  11.3 999.0 99.0 99.00
2011 05 31 10 50 350  3.1  7.2  2.99 12.12  8.56 999 1011.5   9.3  11.3 999.0 99.0 99.00
2011 05 31 11 50  14  5.6  7.7  3.08 12.90  8.77 999 1011.4  10.0  11.3 999.0 99.0 99.00
2011 05 31 12 50   6  6.2  7.5  3.21 13.79  8.74 999 1011.3  10.0  11.3 999.0 99.0 99.00
2011 05 31 13 50   2  6.8  8.0  3.24 12.12  8.50 999 1011.8  10.1  11.3 999.0 99.0 99.00
2011 05 31 14 50 358  7.2  8.8  3.28 13.79  8.57 999 1012.2  10.1  11.3 999.0 99.0 99.00
2011 05 31 15 50   4  6.1  7.7  3.40 12.12  8.66 999 1012.7  10.1  11.3 999.0 99.0 99.00
2011 05 31 16 50  22  6.8  8.4  2.87 12.12  8.20 999 1013.0  10.4  11.3 999.0 99.0 99.00
2011 05 31 17 50  13  6.3  7.8  2.83 11.43  8.12 999 1013.5  10.6  11.4 999.0 99.0 99.00
2011 05 31 18 50  22  6.1  7.6  3.08 12.12  8.41 999 1014.2  10.5  11.4 999.0 99.0 99.00
2011 05 31 19 50  24  6.9  8.2  2.42 12.12  7.53 999 1014.8  10.9  11.5 999.0 99.0 99.00
2011 05 31 20 50  14  6.5  7.6  2.54 11.43  7.49 999 1015.4  11.1  11.5 999.0 99.0 99.00
2011 05 31 21 50  22  5.5  6.8  2.72 10.81  7.98 999 1015.8  11.2  11.6 999.0 99.0 99.00
2011 05 31 22 50  12  4.8  5.6  2.64 11.43  7.73 999 1016.2  11.3  11.7 999.0 99.0 99.00
2011 05 31 23 50 357  5.8  6.7  2.36 10.81  7.42 999 1016.6  11.5  11.7 999.0 99.0 99.00
2011 06 01 00 50 359  5.6  6.5  2.63 12.12  7.81 999 1017.0  11.5  11.8 999.0 99.0 99.00
2011 06 01 01 50 347  5.9  7.2  2.57 10.81  7.60 999 1017.2  11.5  11.7 999.0 99.0 99.00
2011 06 01 02 50 351  6.7  7.9  2.69 11.43  7.70 999 1017.5  11.6  11.7 999.0 99.0 99.00
2011 06 01 03 50 357  5.8  6.6  2.75 12.12  7.85 999 1017.9  11.5  11.7 999.0 99.0 99.00
2011 06 01 04 50 352  6.3  7.7  2.50 10.81  7.45 999 1018.4  11.4  11.7 999.0 99.0 99.00
2011 06 01 05 50 350  6.3  7.2  2.39 10.00  7.16 999 1018.9  11.4  11.7 999.0 99.0 99.00
2011 06 01 06 50 355  6.1  7.2  2.52 10.81  7.44 999 1018.9  11.2  11.6 999.0 99.0 99.00
2011 06 01 07 50 334  5.7  7.3  2.46 10.81  7.46 999 1019.0  11.2  11.6 999.0 99.0 99.00
2011 06 01 08 50 325  6.4  7.7  2.19 10.81  7.03 999 1019.0  11.1  11.6 999.0 99.0 99.00
2011 06 01 09 50 312  5.6  6.8  2.10 10.81  6.79 999 1018.9  11.1  11.6 999.0 99.0 99.00
2011 06 01 10 50 293  4.4  5.5  2.41  9.09  7.35 999 1018.6  11.0  11.6 999.0 99.0 99.00
2011 06 01 11 50 288  5.5  7.2  2.19 10.00  7.27 999 1018.4  11.1  11.6 999.0 99.0 99.00
2011 06 01 12 50 266  4.8  6.0  1.99 10.81  6.89 999 1018.2   9.8  11.6 999.0 99.0 99.00
2011 06 01 13 50 296  7.8  9.9  1.95 10.00  6.66 999 1018.1  10.1  11.6 999.0 99.0 99.00
2011 06 01 14 50 280  6.1  7.3  2.04 10.00  6.46 999 1018.2   9.9  11.5 999.0 99.0 99.00
2011 06 01 15 50 278  6.4  8.2  2.14 11.43  6.75 999 1018.5  10.3  11.5 999.0 99.0 99.00
2011 06 01 16 50 266  6.8  8.2  2.05 10.00  6.47 999 1018.3  10.5  11.5 999.0 99.0 99.00
2011 06 01 17 50 263  6.2  7.4  2.10 10.81  6.57 999 1018.3  10.1  11.5 999.0 99.0 99.00
2011 06 01 18 50 285  8.4  9.9  1.81 10.81  6.12 999 1018.3  10.0  11.6 999.0 99.0 99.00
2011 06 01 19 50 284  7.2  8.5  1.83 11.43  5.95 999 1018.4   9.9  11.6 999.0 99.0 99.00
2011 06 01 20 50 275  5.9  7.5  1.85 10.00  6.13 999 1018.5  10.1  11.6 999.0 99.0 99.00
2011 06 01 21 50 276  7.4  8.7  1.99  9.09  6.11 999 1018.5  10.5  11.6 999.0 99.0 99.00
2011 06 01 22 50 251  8.7 10.5  1.95  7.69  5.77 999 1018.6  10.7  11.6 999.0 99.0 99.00
2011 06 01 23 50 251  8.2 10.3  2.05  9.09  5.76 999 1018.7  10.4  11.5 999.0 99.0 99.00
2011 06 02 00 50 285  9.1 11.1  2.20  7.14  5.99 999 1018.7  10.6  11.5 999.0 99.0 99.00
2011 06 02 01 50 282  9.2 11.3  2.33  6.67  6.02 999 1018.6  10.7  11.5 999.0 99.0 99.00
2011 06 02 02 50 256  8.9 10.4  2.19  8.33  5.80 999 1018.6  10.5  11.5 999.0 99.0 99.00
2011 06 02 03 50 260  8.3  9.5  2.33 17.39  6.39 999 1018.7  10.8  11.5 999.0 99.0 99.00
2011 06 02 04 50 268  7.7  9.0  2.06  7.69  6.19 999 1018.9  10.8  11.5 999.0 99.0 99.00
2011 06 02 05 50 239  8.1  9.8  2.01  7.69  6.13 999 1019.2  10.7  11.5 999.0 99.0 99.00
2011 06 02 06 50 233  7.2  8.2  2.24  7.69  6.22 999 1019.1  10.7  11.5 999.0 99.0 99.00
2011 06 02 07 50 233  7.1  8.2  2.12  8.33  6.19 999 1019.0  10.6  11.5 999.0 99.0 99.00
2011 06 02 08 50 224  6.5  7.5  2.06  7.69  6.24 999 1018.9  10.5  11.5 999.0 99.0 99.00
2011 06 02 09 50 206  7.0  8.4  1.97  7.69  6.33 999 1019.0  10.5  11.5 999.0 99.0 99.00
2011 06 02 10 50 225  6.9  8.2  2.01  8.33  6.17 999 1018.8  10.3  11.5 999.0 99.0 99.00
2011 06 02 11 50 237  3.4  4.3  1.97  8.33  6.30 999 1018.7  10.1  11.5 999.0 99.0 99.00
2011 06 02 12 50 210  5.9  7.6  1.93  7.69  6.43 999 1018.5  10.4  11.4 999.0 99.0 99.00
2011 06 02 13 50 204  4.2  5.5  1.76  8.33  6.28 999 1018.5  10.4  11.4 999.0 99.0 99.00
2011 06 02 14 50 169  4.6  5.5  1.83  7.69  6.53 999 1018.3  10.5  11.4 999.0 99.0 99.00
2011 06 02 15 50 150  5.1  6.1  1.65  7.14  6.49 999 1018.1  10.6  11.4 999.0 99.0 99.00
2011 06 02 16 50 146  5.9  7.1  1.64 17.39  6.65 999 1017.8  10.7  11.4 999.0 99.0 99.00
2011 06 02 17 50 112  7.0  8.6  1.55  8.33  6.26 999 1017.3  10.6  11.5 999.0 99.0 99.00
2011 06 02 18 50 115  6.5  7.8  1.48 17.39  5.93 999 1017.5  10.8  11.5 999.0 99.0 99.00
2011 06 02 19 50 109  7.1  8.4  1.59 16.00  6.11 999 1017.2  10.9  11.5 999.0 99.0 99.00
2011 06 02 20 50  94  5.9  6.8  1.45 16.00  5.88 999 1017.0  11.1  11.5 999.0 99.0 99.00
2011 06 02 21 50 108  5.9  6.9  1.49 16.00  6.28 999 1016.5  11.4  11.5 999.0 99.0 99.00
2011 06 02 22 50 120  6.2  7.3  1.44 16.00  6.08 999 1015.9  11.6  11.6 999.0 99.0 99.00
2011 06 02 23 50 132  6.7  8.0  1.45 17.39  5.77 999 1015.4  11.6  11.6 999.0 99.0 99.00
2011 06 03 00 50 133  5.6  6.8  1.33 16.00  5.62 999 1015.0  11.6  11.6 999.0 99.0 99.00
2011 06 03 01 50 141  4.5  5.3 99.00 99.00 99.00 999 1014.5  11.5  11.6 999.0 99.0 99.00
2011 06 03 02 50 269  6.0  7.1  1.32 17.39  6.44 999 1014.4  10.8  11.6 999.0 99.0 99.00
2011 06 03 03 50 249  4.7  5.7  1.34 16.00  6.61 999 1014.2  10.7  11.6 999.0 99.0 99.00
2011 06 03 04 50 258  4.5  5.2  1.21 16.00  6.39 999 1013.6  10.7  11.6 999.0 99.0 99.00
2011 06 03 05 50 248  4.2  5.5  1.13 16.00  5.89 999 1013.5  10.9  11.6 999.0 99.0 99.00
2011 06 03 06 50 243  5.5  6.7  1.25 16.00  6.27 999 1012.8  10.8  11.5 999.0 99.0 99.00
2011 06 03 07 50 233  5.5  6.5  1.19 16.00  5.87 999 1012.5  10.6  11.5 999.0 99.0 99.00
2011 06 03 08 50 242  7.7  8.8  1.37 16.00  6.07 999 1012.0  10.7  11.5 999.0 99.0 99.00
2011 06 03 09 50 244  8.2  9.7  1.43 16.00  5.47 999 1011.4  10.6  11.5 999.0 99.0 99.00
2011 06 03 10 50 279  8.1  9.8  1.70 16.00  5.51 999 1010.9  11.1  11.5 999.0 99.0 99.00
2011 06 03 11 50 308 10.6 12.4  1.79  6.67  5.58 999 1010.5  11.0  11.5 999.0 99.0 99.00
2011 06 03 13 50 326  7.6  9.3 99.00 99.00 99.00 999 1010.8  10.8  11.5 999.0 99.0 99.00
2011 06 03 14 50 278  7.8  9.7  1.97  7.14  5.86 999 1010.8  10.8  11.5 999.0 99.0 99.00
2011 06 03 15 50 294  7.7  9.5  2.23  7.69  6.22 999 1010.8  10.9  11.5 999.0 99.0 99.00
2011 06 03 16 50 279  8.7 11.0  2.04  8.33  5.81 999 1011.1  11.0  11.5 999.0 99.0 99.00
2011 06 03 17 50 267  8.5 10.4  2.13  7.69  6.03 999 1010.9  10.9  11.5 999.0 99.0 99.00
2011 06 03 18 50 277  9.2 10.8  2.01  8.33  5.71 999 1010.9  10.8  11.5 999.0 99.0 99.00
2011 06 03 19 50 269  9.0 10.5  2.19  8.33  6.00 999 1011.0  10.9  11.5 999.0 99.0 99.00
2011 06 03 20 50 272  7.9  9.6  2.05  7.69  5.74 999 1011.1  10.9  11.6 999.0 99.0 99.00
